text,target
济南 收入27182 工资14669 经营10035 财产646 转移1832 消费17264 食品5211 衣着837 居住3615 交通2697 教育1807 医疗1711,中
青岛 收入31560 工资16558 经营11518 财产812 转移2673 消费20538 食品5883 衣着1513 居住4285 交通3658 教育2176 医疗1182,高
淄博 收入27867 工资20317 经营4803 财产754 转移1993 消费20285 食品5712 衣着1269 居住3378 交通3324 教育2827 医疗2123,高
枣庄 收入23940 工资13035 经营8349 财产191 转移2365 消费15386 食品4773 衣着1093 居住2789 交通2318 教育1825 医疗1182,中
东营 收入27341 工资15036 经营8603 财产2624 转移1079 消费20340 食品5660 衣着962 居住3870 交通4100 教育2390 医疗1777,高
烟台 收入30227 工资13549 经营12527 财产1122 转移3028 消费21406 食品7001 衣着1447 居住3725 交通3573 教育2161 医疗1759,高
潍坊 收入29212 工资15562 经营10641 财产797 转移2212 消费18604 食品5069 衣着850 居住3813 交通3099 教育2393 医疗1889,高
济宁 收入25408 工资16814 经营6843 财产503 转移1249 消费16042 食品4390 衣着912 居住2502 交通3121 教育2407 医疗1339,中
泰安 收入26489 工资14948 经营8906 财产340 转移2295 消费17030 食品4843 衣着865 居住3463 交通2243 教育2232 医疗1768,中
威海 收入30794 工资16251 经营7786 财产676 转移6081 消费18400 食品5059 衣着1217 居住3265 交通3106 教育1508 医疗2794,高
日照 收入24091 工资14503 经营7059 财产410 转移2120 消费12761 食品3841 衣着842 居住2667 交通2042 教育1493 医疗906,低
临沂 收入21871 工资11645 经营8442 财产248 转移1535 消费13884 食品4130 衣着743 居住3152 交通1919 教育1584 医疗1100,低
德州 收入23157 工资11902 经营8540 财产192 转移2522 消费17849 食品5440 衣着969 居住5048 交通2630 教育1113 医疗1416,中
聊城 收入21262 工资9237 经营8479 财产410 转移3136 消费15057 食品4755 衣着793 居住2617 交通1813 教育2330 医疗1651,低
滨州 收入24953 工资12784 经营8253 财产564 转移3352 消费17077 食品4792 衣着886 居住2953 交通3238 教育2112 医疗1784,中
菏泽 收入20844 工资6577 经营7870 财产131 转移6266 消费16640 食品5279 衣着1316 居住2807 交通2368 教育2156 医疗1535,低
